ID Keluarga P3KE,Kecamatan,Desil Kesejahteraan,Persentil,Penerima SEMBAKO
189322236,KALIWUNGU,2,19,0
189322239,KALIWUNGU,2,12,0
189322241,KALIWUNGU,2,14,0
189322245,KALIWUNGU,2,12,0
189322252,KALIWUNGU,2,18,0
189322258,KALIWUNGU,2,12,0
189322259,KALIWUNGU,2,19,1
189322267,KALIWUNGU,2,12,1
189322274,KALIWUNGU,2,18,0
189322280,KALIWUNGU,2,14,0
189322286,KALIWUNGU,2,13,0
189322291,KALIWUNGU,2,13,0
189322293,KALIWUNGU,2,12,0
189322295,KALIWUNGU,2,14,1
189322298,KALIWUNGU,2,14,0
189322299,KALIWUNGU,2,19,0
189322301,KALIWUNGU,2,13,0
189322303,KALIWUNGU,2,17,0
189322310,KALIWUNGU,2,12,0
189322311,KALIWUNGU,2,17,0
189322314,KALIWUNGU,2,13,0
189322318,KALIWUNGU,2,11,0
189322321,KALIWUNGU,2,17,0
189322327,KALIWUNGU,2,19,0
189322328,KALIWUNGU,2,20,0
189322331,KALIWUNGU,2,14,0
189322335,KALIWUNGU,2,12,1
189322341,KALIWUNGU,2,20,0
189322360,KALIWUNGU,2,20,0
189322374,KALIWUNGU,2,18,1
189322383,KALIWUNGU,2,20,1
189322415,KALIWUNGU,2,19,1
189322426,KALIWUNGU,2,13,0
189322440,KALIWUNGU,2,11,0
189322447,KALIWUNGU,2,17,0
189322457,KALIWUNGU,2,17,0
189322459,KALIWUNGU,2,14,0
189322460,KALIWUNGU,2,11,0
189322465,KALIWUNGU,2,17,0
189322471,KALIWUNGU,2,20,0
189322474,KALIWUNGU,2,15,0
189322475,KALIWUNGU,2,17,0
189322485,KALIWUNGU,2,19,0
189322491,KALIWUNGU,2,19,0
189322494,KALIWUNGU,2,12,0
189322518,KALIWUNGU,2,12,0
189322531,KALIWUNGU,2,12,0
189322533,KALIWUNGU,2,16,0
189322564,KALIWUNGU,2,12,0
189322566,KALIWUNGU,2,16,0
189322568,KALIWUNGU,2,12,0
189322569,KALIWUNGU,2,12,0
189322580,KALIWUNGU,2,17,0
189322581,KALIWUNGU,2,15,0
